blabla,sea,Practice,Low,1,2014-06-25,16:42:17:490,radio,NA,short,low,start,Classic Rock,NA,NA,NA,0,
blabla,sea,Practice,Low,1,2014-06-25,16:42:18:539,radio,NA,short,low,next_task,Classic Rock,NA,NA,NA,0,
blabla,sea,Practice,Low,1,2014-06-25,16:42:20:026,radio,NA,short,low,next_task,ESPN Xtreme,NA,NA,NA,0,
blabla,sea,Practice,Low,1,2014-06-25,16:42:22:278,radio,NA,short,low,next_task,Radio Disney,NA,NA,NA,0,
blabla,sea,Practice,Low,1,2014-06-25,16:43:07:491,radio,NA,short,low,command_correct,Radio Disney,NA,NA,NA,0,
blabla,sea,Practice,Low,1,2014-06-25,16:43:14:408,radio,NA,short,low,confirm_correct,Radio Disney,NA,NA,NA,0,
blabla,sea,Practice,Low,1,2014-06-25,16:43:14:460,radio,NA,short,low,next_task,NPR News,NA,NA,NA,0,
blabla,sea,Practice,Low,1,2014-06-25,16:43:55:436,nav,1,long,high,start,NA,5342 Columbia Street,NA,NA,0,
blabla,sea,Practice,Low,1,2014-06-25,16:43:56:498,nav,1,long,high,next_task,NA,5342 Columbia Street,NA,NA,0,
blabla,sea,Practice,Low,1,2014-06-25,16:44:04:596,radio,NA,short,low,start,Classic Rock,NA,NA,NA,0,
blabla,sea,Practice,Low,1,2014-06-25,16:44:05:640,radio,NA,short,low,next_task,Classic Rock,NA,NA,NA,0,
blabla,sea,Practice,Low,1,2014-06-25,16:44:09:055,radio,NA,short,low,next_task,ESPN Xtreme,NA,NA,NA,0,
blabla,sea,Practice,Low,1,2014-06-25,16:44:10:944,radio,NA,short,low,next_task,Radio Disney,NA,NA,NA,0,
